n,accepted_n,rejected_n,coverage_pct,coverage_ci_low_pct,coverage_ci_high_pct,selective_accuracy_pct,selective_accuracy_ci_low_pct,selective_accuracy_ci_high_pct,rejected_error_pct,rejected_error_ci_low_pct,rejected_error_ci_high_pct,baseline_accuracy_pct,model,condition,split,method,random_selective_accuracy_pct,random_ci_low_pct,random_ci_high_pct
300,125,175,41.66666666666667,36.0,47.333333333333336,52.0,43.5476403823178,60.87038247793396,74.28571428571429,67.61363636363636,80.44692737430168,36.666666666666664,base,clean,robustness_subset_300,dual_prompt_agreement,36.66839999999999,30.4,43.2
300,122,178,40.666666666666664,35.0,46.0,54.91803278688525,45.96774193548387,63.934426229508205,73.03370786516854,66.26506024096386,79.3296089385475,38.333333333333336,base,downsample_50,robustness_subset_300,dual_prompt_agreement,38.41885245901639,31.967213114754102,45.08196721311475
300,124,176,41.333333333333336,35.66666666666667,47.0,50.0,40.94398711524696,58.69565217391305,77.27272727272727,70.94972067039106,83.33333333333334,34.0,base,downsample_25,robustness_subset_300,dual_prompt_agreement,33.95,27.419354838709676,40.32258064516129
300,126,174,42.0,36.333333333333336,47.66666666666667,50.0,41.269841269841265,58.82352941176471,75.86206896551724,69.39890710382514,82.01058201058201,35.0,base,distractor_1,robustness_subset_300,dual_prompt_agreement,35.023650793650795,28.57142857142857,41.269841269841265
300,125,175,41.66666666666667,36.0,47.333333333333336,45.6,36.76439165409754,54.330708661417326,76.57142857142857,70.12177600224277,82.68209270723237,32.666666666666664,base,distractor_3,robustness_subset_300,dual_prompt_agreement,32.640559999999994,26.400000000000002,39.2
300,120,180,40.0,34.66666666666667,45.666666666666664,58.333333333333336,49.48971861471862,67.21345915415345,75.55555555555556,69.14285714285714,81.52173913043478,38.0,sft,clean,robustness_subset_300,dual_prompt_agreement,37.99916666666667,31.666666666666664,45.0
300,120,180,40.0,34.66666666666667,45.666666666666664,54.166666666666664,45.13147395908893,63.11583261432268,78.88888888888889,72.86390562081934,84.78260869565217,34.333333333333336,sft,downsample_50,robustness_subset_300,dual_prompt_agreement,34.291000000000004,27.500000000000004,40.833333333333336
300,124,176,41.333333333333336,35.66666666666667,47.0,49.193548387096776,40.310077519379846,57.971318962367555,72.72727272727273,65.94564894564895,79.09604519774011,36.333333333333336,sft,downsample_25,robustness_subset_300,dual_prompt_agreement,36.31314516129032,29.838709677419356,42.74193548387097
300,122,178,40.666666666666664,35.333333333333336,46.33333333333333,45.90163934426229,36.92213114754099,54.83870967741935,81.46067415730337,75.86158465710965,87.00583314990095,29.666666666666668,sft,distractor_1,robustness_subset_300,dual_prompt_agreement,29.74032786885246,23.770491803278688,36.0655737704918
300,111,189,37.0,31.666666666666664,42.66666666666667,56.75675675675676,47.41379310344828,65.74074074074075,72.4867724867725,65.96858638743456,78.83597883597884,38.333333333333336,sft,distractor_3,robustness_subset_300,dual_prompt_agreement,38.36756756756757,31.53153153153153,45.94594594594595
300,132,168,44.0,38.333333333333336,49.666666666666664,46.96969696969697,38.297872340425535,55.48135464231352,77.97619047619048,71.51506342494716,84.0,33.0,rl,clean,robustness_subset_300,dual_prompt_agreement,32.93234848484848,27.27272727272727,38.63636363636363
300,122,178,40.666666666666664,35.333333333333336,46.33333333333333,55.73770491803278,46.902654867256636,64.54599141016463,76.40449438202246,70.05649717514125,82.68156424581005,36.666666666666664,rl,downsample_50,robustness_subset_300,dual_prompt_agreement,36.63737704918032,30.327868852459016,43.44262295081967
300,142,158,47.333333333333336,41.66666666666667,53.0,52.112676056338024,43.79562043795621,60.13986013986013,69.62025316455697,62.17948717948718,76.78660122989592,40.666666666666664,rl,downsample_25,robustness_subset_300,dual_prompt_agreement,40.612676056338024,34.50704225352113,46.478873239436616
300,127,173,42.333333333333336,37.0,48.0,46.45669291338583,37.776315789473685,55.2,73.41040462427746,66.66243654822335,79.88834406120961,35.0,rl,distractor_1,robustness_subset_300,dual_prompt_agreement,35.005826771653545,28.346456692913385,41.732283464566926
300,123,177,41.0,35.333333333333336,46.33333333333333,46.34146341463415,37.679497407259674,55.26315789473685,70.05649717514125,63.211794682001944,76.8361581920904,36.666666666666664,rl,distractor_3,robustness_subset_300,dual_prompt_agreement,36.72894308943089,30.081300813008134,43.08943089430895
