n,accepted_n,rejected_n,coverage_pct,coverage_ci_low_pct,coverage_ci_high_pct,selective_accuracy_pct,selective_accuracy_ci_low_pct,selective_accuracy_ci_high_pct,rejected_error_pct,rejected_error_ci_low_pct,rejected_error_ci_high_pct,baseline_accuracy_pct,condition,method,threshold,random_selective_accuracy_pct,random_ci_low_pct,random_ci_high_pct
300,300,0,100.0,100.0,100.0,34.333333333333336,28.999999999999996,39.666666666666664,,,,34.333333333333336,clean,single_stochastic_run,,,,
300,127,173,42.333333333333336,36.666666666666664,48.0,47.24409448818898,38.63636363636363,56.000709219858145,75.14450867052022,68.6046511627907,81.48148148148148,34.333333333333336,clean,same_prompt_two_run_agreement,1.0,34.39338582677165,28.346456692913385,40.94488188976378
300,185,115,61.66666666666667,56.00000000000001,67.0,45.40540540540541,38.285714285714285,52.68817204301075,77.39130434782608,69.42148760330579,84.84848484848484,36.666666666666664,clean,eight_run_majority_confidence,0.5,36.65897297297298,32.432432432432435,41.08108108108108
300,134,166,44.666666666666664,39.0,50.33333333333333,55.223880597014926,46.896012931034484,63.503649635036496,78.3132530120482,71.87453218562875,84.26983958730831,36.666666666666664,clean,eight_run_majority_confidence,0.625,36.65276119402986,30.597014925373134,42.53731343283582
300,89,211,29.666666666666668,24.666666666666668,35.0,62.92134831460674,52.74725274725275,72.82608695652173,74.40758293838863,68.54460093896714,80.18433179723502,36.666666666666664,clean,eight_run_majority_confidence,0.75,36.68168539325843,28.08988764044944,44.9438202247191
300,54,246,18.0,14.000000000000002,22.333333333333332,77.77777777777779,66.0377358490566,88.37209302325581,72.35772357723577,66.53539385764032,77.77777777777779,36.666666666666664,clean,eight_run_majority_confidence,0.875,36.69925925925926,25.925925925925924,48.148148148148145
300,34,266,11.333333333333332,8.0,15.0,76.47058823529412,61.111111111111114,90.0,68.42105263157895,62.78195488721805,73.9622641509434,36.666666666666664,clean,eight_run_majority_confidence,1.0,36.725,20.588235294117645,52.94117647058824
300,300,0,100.0,100.0,100.0,32.33333333333333,27.0,37.666666666666664,,,,32.33333333333333,distractor_3,single_stochastic_run,,,,
300,108,192,36.0,30.666666666666664,41.333333333333336,50.0,40.35050862450243,59.57446808510638,77.60416666666666,71.57881378573337,83.33333333333334,32.33333333333333,distractor_3,same_prompt_two_run_agreement,1.0,32.32314814814814,25.0,39.81481481481482
300,192,108,64.0,58.666666666666664,69.33333333333334,48.4375,41.378858999819464,55.367231638418076,79.62962962962963,71.7948717948718,86.9920731707317,38.333333333333336,distractor_3,eight_run_majority_confidence,0.5,38.336979166666666,34.375,42.70833333333333
300,132,168,44.0,38.333333333333336,49.666666666666664,53.78787878787878,45.1120115863429,62.30769230769231,73.80952380952381,67.05882352941175,80.3921568627451,38.333333333333336,distractor_3,eight_run_majority_confidence,0.625,38.32651515151515,32.57575757575758,44.696969696969695
300,78,222,26.0,21.0,31.0,60.256410256410255,49.333333333333336,71.25,69.36936936936937,63.30275229357798,75.34246575342466,38.333333333333336,distractor_3,eight_run_majority_confidence,0.75,38.37666666666667,29.48717948717949,47.43589743589743
300,50,250,16.666666666666664,12.666666666666668,21.0,66.0,52.083333333333336,79.16666666666666,67.2,61.37292033582409,72.97297297297297,38.333333333333336,distractor_3,eight_run_majority_confidence,0.875,38.29679999999999,26.0,50.0
300,26,274,8.666666666666668,5.666666666666666,12.0,88.46153846153845,75.0,100.0,66.42335766423358,60.8058608058608,72.04340607210627,38.333333333333336,distractor_3,eight_run_majority_confidence,1.0,38.323076923076925,19.230769230769234,57.692307692307686
300,300,0,100.0,100.0,100.0,32.666666666666664,27.333333333333332,38.0,,,,32.666666666666664,downsample_25,single_stochastic_run,,,,
300,118,182,39.33333333333333,33.666666666666664,45.0,53.38983050847458,44.44444444444444,62.4,80.76923076923077,74.73103509393833,86.38751200470894,32.666666666666664,downsample_25,same_prompt_two_run_agreement,1.0,32.64822033898305,26.27118644067797,38.983050847457626
300,190,110,63.33333333333333,57.666666666666664,68.66666666666667,46.31578947368421,39.266523109835056,53.403141361256544,80.9090909090909,73.27586206896551,88.07339449541286,36.333333333333336,downsample_25,eight_run_majority_confidence,0.5,36.34952631578947,32.10526315789474,40.526315789473685
300,138,162,46.0,40.33333333333333,51.66666666666667,57.971014492753625,49.64028776978417,66.17647058823529,82.09876543209876,75.9493670886076,87.87927041111755,36.333333333333336,downsample_25,eight_run_majority_confidence,0.625,36.31398550724638,30.434782608695656,42.028985507246375
300,86,214,28.666666666666668,23.666666666666668,33.666666666666664,65.11627906976744,54.929577464788736,75.0,75.23364485981308,69.40639269406392,80.95238095238095,36.333333333333336,downsample_25,eight_run_majority_confidence,0.75,36.30639534883721,27.906976744186046,45.348837209302324
300,50,250,16.666666666666664,12.666666666666668,21.0,78.0,65.9090909090909,88.88888888888889,72.0,66.39344262295081,77.41966863311158,36.333333333333336,downsample_25,eight_run_majority_confidence,0.875,36.285999999999994,24.0,48.0
300,31,269,10.333333333333334,7.000000000000001,14.000000000000002,90.32258064516128,78.57142857142857,100.0,69.88847583643123,64.38797238071612,75.46468401486989,36.333333333333336,downsample_25,eight_run_majority_confidence,1.0,36.351290322580645,19.35483870967742,51.61290322580645
