n,accepted_n,rejected_n,coverage_pct,selective_accuracy_pct,selective_accuracy_uplift_pp,uplift_ci_low_pp,uplift_ci_high_pp,rejected_error_pct,overall_error_pct,rejected_error_enrichment_pp,rejected_error_enrichment_ci_low_pp,rejected_error_enrichment_ci_high_pp,bootstrap_repeats,bootstrap_seed,matched_random_expected_accuracy_pct,matched_random_interval_low_pct,matched_random_interval_high_pct,model,condition,split,method,comparison
642,288,354,44.85981308411215,48.26388888888889,9.01155244029076,4.977900675757984,13.315395089332679,68.07909604519774,60.747663551401864,7.331432493795875,4.029299626445589,10.9164356996849,10000,20263724,39.252336448598136,35.06944444444444,43.40277777777778,rl,clean,heldout_complement_642,dual_prompt_agreement,uniform_same_count
642,288,354,44.85981308411215,48.26388888888889,7.63455402968512,3.824997738656192,11.670124056417366,68.07909604519774,60.747663551401864,7.331432493795875,4.029299626445589,10.9164356996849,10000,20263724,40.629334859203766,36.80555555555556,44.44444444444444,rl,clean,heldout_complement_642,dual_prompt_agreement,answer_type_matched_count
642,288,354,44.85981308411215,48.26388888888889,7.229377512127005,3.3983369495876596,11.1297370827691,68.07909604519774,60.747663551401864,7.331432493795875,4.029299626445589,10.9164356996849,10000,20263724,41.034511376761884,37.15277777777778,44.79166666666667,rl,clean,heldout_complement_642,dual_prompt_agreement,answer_type_and_domain_matched_count
