model,comparison,n_rows,semantic_trials,clean_accuracy_pct,matched_blank_accuracy_pct,mean_semantic_accuracy_pct,mean_delta_pp,ci_low_pp,ci_high_pp,semantic_blank_answer_agreement_pct
base,semantic_mean_minus_clean,300,1800,36.666666666666664,34.833333333333336,36.611111111111114,-0.055555555555556545,-4.500000000000001,4.3888888888888875,46.77777777777778
base,semantic_mean_minus_matched_blank,300,1800,36.666666666666664,34.833333333333336,36.611111111111114,1.7777777777777768,-1.6111111111111118,5.166666666666667,46.77777777777778
sft,semantic_mean_minus_clean,300,1800,38.0,34.166666666666664,31.166666666666664,-6.833333333333334,-11.555555555555557,-2.2777777777777795,35.55555555555555
sft,semantic_mean_minus_matched_blank,300,1800,38.0,34.166666666666664,31.166666666666664,-3.0000000000000013,-6.4444444444444455,0.49999999999999917,35.55555555555555
rl,semantic_mean_minus_clean,300,1800,33.0,36.333333333333336,34.94444444444444,1.9444444444444438,-2.666666666666667,6.499999999999999,44.055555555555564
rl,semantic_mean_minus_matched_blank,300,1800,33.0,36.333333333333336,34.94444444444444,-1.38888888888889,-4.88888888888889,2.055555555555555,44.055555555555564
