n,accepted_n,rejected_n,coverage_pct,coverage_ci_low_pct,coverage_ci_high_pct,selective_accuracy_pct,selective_accuracy_ci_low_pct,selective_accuracy_ci_high_pct,rejected_error_pct,rejected_error_ci_low_pct,rejected_error_ci_high_pct,baseline_accuracy_pct,model,condition,split,method,random_selective_accuracy_pct,random_ci_low_pct,random_ci_high_pct
300,132,168,44.0,38.333333333333336,49.666666666666664,46.96969696969697,38.40565217391304,55.28501478196599,77.97619047619048,71.67630057803468,84.11764705882354,33.0,rl,clean,design_subset_300,dual_prompt_agreement,33.02333333333333,27.27272727272727,39.39393939393939
642,288,354,44.85981308411215,40.965732087227416,48.753894080996886,48.26388888888889,42.45614035087719,54.03508771929825,68.07909604519774,63.06287537537537,72.83582089552239,39.25233644859813,rl,clean,heldout_complement_642,dual_prompt_agreement,39.24871527777778,35.06944444444444,43.40277777777778
942,420,522,44.5859872611465,41.40127388535032,47.77070063694268,47.85714285714286,43.127962085308056,52.596204251495074,71.26436781609196,67.19049300098231,75.09092574092574,37.261146496815286,rl,clean,all_942,dual_prompt_agreement,37.26747619047619,33.80952380952381,40.714285714285715
