model_key,model_id,n,accuracy,parse_rate,manual_review_rate,latency_seconds_mean,output_tokens_mean,accuracy_ci_low,accuracy_ci_high
base,Qwen/Qwen2.5-VL-7B-Instruct,942,0.36942675159235666,1.0,0.06687898089171974,13.224247265618489,476.39702760084924,0.3386411889596603,0.3991507430997877
rl,Fancy-MLLM/R1-Onevision-7B-RL,942,0.37261146496815284,1.0,0.03078556263269639,14.772136649219942,529.0307855626327,0.34182590233545646,0.4033970276008493
sft,Fancy-MLLM/R1-Onevision-7B,942,0.33970276008492567,1.0,0.09554140127388536,26.47973787354235,961.0244161358811,0.3089171974522293,0.37048832271762205
