condition,alternative,n,baseline_accuracy,alternative_accuracy,coverage,selective_accuracy,accepted_n,failure_precision,failure_recall,failure_f1
clean,evidence_global,300,0.33,0.34,0.44333333333333336,0.46616541353383456,133,0.7784431137724551,0.6467661691542289,0.7065217391304348
distractor_3,evidence_global,300,0.36666666666666664,0.3,0.4066666666666667,0.4672131147540984,122,0.702247191011236,0.6578947368421053,0.6793478260869567
downsample_25,evidence_global,300,0.4033333333333333,0.35333333333333333,0.4766666666666667,0.5104895104895105,143,0.6942675159235668,0.6089385474860335,0.6488095238095238
clean,paper_quadrants,300,0.33,0.3233333333333333,0.41333333333333333,0.47580645161290325,124,0.7727272727272727,0.6766169154228856,0.7214854111405836
distractor_3,paper_quadrants,300,0.36666666666666664,0.0,0.0,,0,0.6333333333333333,1.0,0.7755102040816326
downsample_25,paper_quadrants,300,0.4033333333333333,0.31,0.42333333333333334,0.5196850393700787,127,0.6820809248554913,0.659217877094972,0.6704545454545453
clean,evidence_quadrants,300,0.33,0.30666666666666664,0.3933333333333333,0.4745762711864407,118,0.7637362637362637,0.6915422885572139,0.7258485639686684
distractor_3,evidence_quadrants,300,0.36666666666666664,0.0,0.0,,0,0.6333333333333333,1.0,0.7755102040816326
downsample_25,evidence_quadrants,300,0.4033333333333333,0.32,0.3933333333333333,0.5423728813559322,118,0.6868131868131868,0.6983240223463687,0.6925207756232686
