left,right,n,left_accuracy,right_accuracy,accuracy_delta,delta_ci_low,delta_ci_high,left_only_correct,right_only_correct,mcnemar_exact_p,answer_agreement
base,sft,942,0.36942675159235666,0.33970276008492567,-0.029723991507430998,-0.06581740976645435,0.005307855626326964,159,131,0.11269742410917125,0.32908704883227174
sft,rl,942,0.33970276008492567,0.37261146496815284,0.032908704883227176,-0.0010615711252653928,0.06794055201698514,123,154,0.07127080976144988,0.3747346072186836
base,rl,942,0.36942675159235666,0.37261146496815284,0.0031847133757961785,-0.03184713375796178,0.03821656050955414,141,144,0.9057226398665426,0.3895966029723992
